D13,B2,1515.677,404
B2,C9,1444.584,359
C9,B15,1420.286,376
B15,A3,1745.417,437
A3,C11,1454.297,376
C11,B5,1305.468,351
B5,D3,1669.427,404
D3,E5,1109.740,289
E5,D6,1090.260,282
D6,E10,2434.584,623
E10,E13,1099.973,282
E13,D13,980.287,282
D13,B2,1625.703,404
B2,C9,1444.557,359
C9,B15,1420.287,376
B15,A3,1635.416,437
A3,C11,1564.323,376
C11,B5,1305.391,351
B5,D3,1669.453,404
D3,E5,1109.765,289
E5,D6,1090.261,282
D6,E10,2434.557,623
E10,E13,1100.26,282
E13,D13,980.260,282
D13,B2,1515.704,404
B2,C9,1444.609,359
C9,B15,1530.234,376
B15,A3,1635.417,437
A3,C11,1454.323,376
C11,B5,1415.442,351
B5,D3,1559.453,404
D3,E5,1109.740,289
E5,D6,1090.286,282
D6,E10,2434.558,623
E10,E13,1099.999,282
E13,D13,1090.235,282
D13,B2,1515.729,404
B2,C9,1444.557,359
C9,B15,1420.261,376
B15,A3,1745.442,437
A3,C11,1454.297,376
C11,B5,1415.417,351
B5,D3,1559.479,404
D3,E5,1109.713,289
E5,D6,1090.287,282
D6,E10,2434.583,623
E10,E13,1099.974,282
E13,D13,1090.286,282
D13,B2,1515.703,404
B2,C9,1444.584,359
C9,B15,1420.260,376
B15,A3,1745.391,437
A3,C11,1454.349,376
C11,B5,1305.390,351
B5,D3,1669.479,404
D3,E5,1109.740,289
E5,D6,1090.260,282
D6,E10,2434.583,623
E10,E13,1100.0,282
E13,D13,980.261,282
D13,B2,1625.677,404
B2,C9,1444.583,359
C9,B15,1420.261,376
B15,A3,1635.416,437
A3,C11,1564.323,376
C11,B5,1305.443,351
B5,D3,1559.453,404
D3,E5,1109.739,289
E5,D6,1200.260,282
D6,E10,2324.584,623
E10,E13,1100.0,282
E13,D13,1090.286,282
D13,B2,1515.651,404
B2,C9,1444.584,359
C9,B15,1530.286,376
B15,A3,1635.417,437
A3,C11,1454.296,376
C11,B5,1415.417,351
B5,D3,1559.479,404
D3,E5,1109.740,289
E5,D6,1090.260,282
D6,E10,2434.583,623
E10,E13,1099.974,282
E13,D13,1090.287,282
D13,B2,1515.703,404
B2,C9,1444.583,359
C9,B15,1420.261,376
B15,A3,1745.442,437
A3,C11,1454.297,376
C11,B5,1305.391,351
B5,D3,1669.452,404
D3,E5,1109.766,289
E5,D6,1090.261,282
D6,E10,2434.557,623
E10,E13,1100.26,282
E13,D13,1090.286,282
D13,B2,1515.651,404
B2,C9,1444.583,359
C9,B15,1420.287,376
B15,A3,1635.417,437
A3,C11,1564.296,376
C11,B5,1305.443,351
B5,D3,1669.453,404
D3,E5,1109.739,289
E5,D6,1090.261,282
D6,E10,2434.583,623
E10,E13,1099.974,282
E13,D13,980.287,282
D13,B2,1625.703,404
B2,C9,1334.557,359
C9,B15,1530.286,376
B15,A3,1635.417,437
A3,C11,1454.297,376
C11,B5,1415.416,351
B5,D3,1559.479,404
D3,E5,1109.740,289
E5,D6,1090.234,282
D6,E10,2434.610,623
E10,E13,1100.0,282
E13,D13,1090.260,282
D13,B2,1515.703,404
B2,C9,1444.557,359
C9,B15,1420.261,376
B15,A3,1745.443,437
A3,C11,1454.322,376
C11,B5,1415.417,351
B5,D3,1559.479,404
D3,E5,1109.687,289
E5,D6,1090.287,282
D6,E10,2434.557,623
E10,E13,1100.26,282
E13,D13,1090.261,282
