E6,D4,430.312,289
D4,B6,640.495,404
B6,C12,674.583,351
C12,A4,525.677,376
A4,B16,784.587,437
B16,C10,669.762,376
C10,B1,535.391,359
B1,D14,684.323,404
D14,E14,449.713,282
E14,E9,660.26,376
E9,D5,1085.417,633
D5,E6,559.739,376
E6,D4,540.261,289
D4,B6,640.547,404
B6,C12,564.557,351
C12,A4,635.703,376
A4,B16,674.561,437
B16,C10,669.736,376
C10,B1,645.443,359
B1,D14,684.296,404
D14,E14,449.740,282
E14,E9,659.974,376
E9,D5,975.443,633
D5,E6,669.739,376
E6,D4,430.235,289
D4,B6,640.546,404
B6,C12,674.610,351
C12,A4,525.651,376
A4,B16,784.613,437
B16,C10,669.710,376
C10,B1,535.416,359
B1,D14,684.349,404
D14,E14,559.714,282
E14,E9,550.0,376
E9,D5,1085.416,633
D5,E6,559.714,376
E6,D4,540.286,289
D4,B6,640.521,404
B6,C12,564.584,351
C12,A4,635.703,376
A4,B16,784.560,437
B16,C10,559.762,376
C10,B1,645.391,359
B1,D14,684.323,404
D14,E14,449.714,282
E14,E9,660.25,376
E9,D5,975.417,633
D5,E6,669.740,376
E6,D4,430.260,289
D4,B6,640.547,404
B6,C12,674.557,351
C12,A4,525.703,376
A4,B16,784.587,437
B16,C10,669.710,376
C10,B1,535.443,359
B1,D14,684.297,404
D14,E14,449.739,282
E14,E9,659.974,376
